level	name	family	seqlen	tflops	ms	status	ratio_prev	ratio_ck	description
2	coop_kv_to_lds	structural	2048	20.0	0.4230	OK	1.000	0.323	Cooperative K/V -> LDS double-buffered (ping-pong) tile load. EMBEDDED in 8wave; no clean standalone flag A/B (it is the load path). Documented; reproduced as 8wave.
2	coop_kv_to_lds	structural	16384	47.0	11.6201	OK	1.000	0.333	Cooperative K/V -> LDS double-buffered (ping-pong) tile load. EMBEDDED in 8wave; no clean standalone flag A/B (it is the load path). Documented; reproduced as 8wave.
2	coop_kv_to_lds	structural	32768	53.0	41.4687	OK	1.000	0.363	Cooperative K/V -> LDS double-buffered (ping-pong) tile load. EMBEDDED in 8wave; no clean standalone flag A/B (it is the load path). Documented; reproduced as 8wave.
3	register_P_dsbpermute	throughput	1024	15.0	0.1415	OK	1.000	0.500	Register-resident P, transposed via ds_bpermute (no LDS P scratch). EMBEDDED in 8wave; the L0 baseline still uses the LDS P-transpose, so the win shows as the L0->L1/L3 delta.
3	register_P_dsbpermute	throughput	2048	20.0	0.4234	OK	1.000	0.323	Register-resident P, transposed via ds_bpermute (no LDS P scratch). EMBEDDED in 8wave; the L0 baseline still uses the LDS P-transpose, so the win shows as the L0->L1/L3 delta.
3	register_P_dsbpermute	throughput	16384	47.0	11.7401	OK	1.000	0.333	Register-resident P, transposed via ds_bpermute (no LDS P scratch). EMBEDDED in 8wave; the L0 baseline still uses the LDS P-transpose, so the win shows as the L0->L1/L3 delta.
3	register_P_dsbpermute	throughput	32768	53.0	41.5715	OK	1.000	0.363	Register-resident P, transposed via ds_bpermute (no LDS P scratch). EMBEDDED in 8wave; the L0 baseline still uses the LDS P-transpose, so the win shows as the L0->L1/L3 delta.
4	fast_exp2	throughput	1024	15.0	0.1416	OK	1.000	0.500	rocdl.exp2 fast softmax exponential (LOG2E pre-scaled scores). EMBEDDED in 8wave; no flag A/B in this module.
4	fast_exp2	throughput	2048	20.0	0.4230	OK	1.000	0.323	rocdl.exp2 fast softmax exponential (LOG2E pre-scaled scores). EMBEDDED in 8wave; no flag A/B in this module.
4	fast_exp2	throughput	16384	47.0	11.5891	OK	1.000	0.333	rocdl.exp2 fast softmax exponential (LOG2E pre-scaled scores). EMBEDDED in 8wave; no flag A/B in this module.
4	fast_exp2	throughput	32768	53.0	41.4491	OK	1.000	0.363	rocdl.exp2 fast softmax exponential (LOG2E pre-scaled scores). EMBEDDED in 8wave; no flag A/B in this module.
5	causal_loop_split	structural	1024	15.0	0.1420	OK	1.000	0.500	Masked/unmasked causal loop split: interior tiles skip per-element mask VALU (VALU:MFMA 24->19, +13%). First appears in the CK line; documented here on 8wave.
5	causal_loop_split	structural	2048	20.0	0.4226	OK	1.000	0.323	Masked/unmasked causal loop split: interior tiles skip per-element mask VALU (VALU:MFMA 24->19, +13%). First appears in the CK line; documented here on 8wave.
5	causal_loop_split	structural	16384	47.0	11.6005	OK	1.000	0.333	Masked/unmasked causal loop split: interior tiles skip per-element mask VALU (VALU:MFMA 24->19, +13%). First appears in the CK line; documented here on 8wave.
5	causal_loop_split	structural	32768	53.0	41.4363	OK	1.000	0.363	Masked/unmasked causal loop split: interior tiles skip per-element mask VALU (VALU:MFMA 24->19, +13%). First appears in the CK line; documented here on 8wave.
6	diagonal_pair_tiling	structural	1024	13.0	0.1694	OK	0.867	0.433	Diagonal-pair tiling: each CTA does q-tile t AND its causal mirror. A/B: fmha_prefill_fp8_8wave (one tile/WG) -> fmha_prefill_fp8_v7 (diag), OR FMHA_DIAG=0/1 on the CK base. +8-24% @ sq>=2048, LOSS @ sq1024 (hence per-shape at L13).
6	diagonal_pair_tiling	structural	2048	30.0	0.2884	OK	1.500	0.484	Diagonal-pair tiling: each CTA does q-tile t AND its causal mirror. A/B: fmha_prefill_fp8_8wave (one tile/WG) -> fmha_prefill_fp8_v7 (diag), OR FMHA_DIAG=0/1 on the CK base. +8-24% @ sq>=2048, LOSS @ sq1024 (hence per-shape at L13).
6	diagonal_pair_tiling	structural	16384	52.0	10.6279	OK	1.106	0.369	Diagonal-pair tiling: each CTA does q-tile t AND its causal mirror. A/B: fmha_prefill_fp8_8wave (one tile/WG) -> fmha_prefill_fp8_v7 (diag), OR FMHA_DIAG=0/1 on the CK base. +8-24% @ sq>=2048, LOSS @ sq1024 (hence per-shape at L13).
6	diagonal_pair_tiling	structural	32768	57.0	38.4389	OK	1.075	0.390	Diagonal-pair tiling: each CTA does q-tile t AND its causal mirror. A/B: fmha_prefill_fp8_8wave (one tile/WG) -> fmha_prefill_fp8_v7 (diag), OR FMHA_DIAG=0/1 on the CK base. +8-24% @ sq>=2048, LOSS @ sq1024 (hence per-shape at L13).
7	column_v_no_transpose	structural	1024	14.0	0.1567	OK	1.077	0.467	Column-major V (CK true vec_k_col_v): GEMM2 contraction dim contiguous => delete the V transpose. A/B: fmha_prefill_fp8_v7 -> fmha_prefill_fp8_ck, OR FMHA_VCOL=0/1. LDS-wait 54%->18% of busy cycles.
7	column_v_no_transpose	structural	2048	33.0	0.2635	OK	1.100	0.532	Column-major V (CK true vec_k_col_v): GEMM2 contraction dim contiguous => delete the V transpose. A/B: fmha_prefill_fp8_v7 -> fmha_prefill_fp8_ck, OR FMHA_VCOL=0/1. LDS-wait 54%->18% of busy cycles.
7	column_v_no_transpose	structural	16384	63.0	8.7531	OK	1.212	0.447	Column-major V (CK true vec_k_col_v): GEMM2 contraction dim contiguous => delete the V transpose. A/B: fmha_prefill_fp8_v7 -> fmha_prefill_fp8_ck, OR FMHA_VCOL=0/1. LDS-wait 54%->18% of busy cycles.
7	column_v_no_transpose	structural	32768	70.0	31.4364	OK	1.228	0.479	Column-major V (CK true vec_k_col_v): GEMM2 contraction dim contiguous => delete the V transpose. A/B: fmha_prefill_fp8_v7 -> fmha_prefill_fp8_ck, OR FMHA_VCOL=0/1. LDS-wait 54%->18% of busy cycles.
8	lds_row_padding	throughput	1024	19.0	0.1124	OK	1.357	0.633	LDS row padding to break 32-way bank conflicts (68% busy -> spread). A/B: fmha_prefill_fp8_ck -> fmha_prefill_fp8_ck_hk5, OR FMHA_KPAD/VPAD=0 vs 8 on hk5. 8/8 is the swept optimum (non-monotonic).
8	lds_row_padding	throughput	2048	48.0	0.1798	OK	1.455	0.774	LDS row padding to break 32-way bank conflicts (68% busy -> spread). A/B: fmha_prefill_fp8_ck -> fmha_prefill_fp8_ck_hk5, OR FMHA_KPAD/VPAD=0 vs 8 on hk5. 8/8 is the swept optimum (non-monotonic).
8	lds_row_padding	throughput	16384	123.0	4.4584	OK	1.952	0.872	LDS row padding to break 32-way bank conflicts (68% busy -> spread). A/B: fmha_prefill_fp8_ck -> fmha_prefill_fp8_ck_hk5, OR FMHA_KPAD/VPAD=0 vs 8 on hk5. 8/8 is the swept optimum (non-monotonic).
8	lds_row_padding	throughput	32768	142.0	15.4508	OK	2.029	0.973	LDS row padding to break 32-way bank conflicts (68% busy -> spread). A/B: fmha_prefill_fp8_ck -> fmha_prefill_fp8_ck_hk5, OR FMHA_KPAD/VPAD=0 vs 8 on hk5. 8/8 is the swept optimum (non-monotonic).
9	kdlds_kdescale_to_lds	throughput	1024	19.0	0.1140	OK	1.000	0.633	K-descale staged in LDS (ping-ponged with K/V), off the score-scaling critical path. A/B: fmha_prefill_fp8_ck_hk5 -> fmha_prefill_fp8_combined.
9	kdlds_kdescale_to_lds	throughput	2048	48.0	0.1807	OK	1.000	0.774	K-descale staged in LDS (ping-ponged with K/V), off the score-scaling critical path. A/B: fmha_prefill_fp8_ck_hk5 -> fmha_prefill_fp8_combined.
9	kdlds_kdescale_to_lds	throughput	16384	107.0	5.1289	OK	0.870	0.759	K-descale staged in LDS (ping-ponged with K/V), off the score-scaling critical path. A/B: fmha_prefill_fp8_ck_hk5 -> fmha_prefill_fp8_combined.
9	kdlds_kdescale_to_lds	throughput	32768	121.0	18.1743	OK	0.852	0.829	K-descale staged in LDS (ping-ponged with K/V), off the score-scaling critical path. A/B: fmha_prefill_fp8_ck_hk5 -> fmha_prefill_fp8_combined.
10	log2e_descale_expbias_hoist	throughput	1024	18.0	0.1174	OK	0.947	0.600	LOG2E folded into the descale + per-tile exp-bias hoist: whole score domain in log2 units, removing the per-element *LOG2E. A/B: fmha_prefill_fp8_combined -> fmha_prefill_fp8_ck_log2dom. THE MEASURED PEAK underlying kernel (layout/reorder are its readability rewrites).
10	log2e_descale_expbias_hoist	throughput	2048	46.0	0.1864	OK	0.958	0.742	LOG2E folded into the descale + per-tile exp-bias hoist: whole score domain in log2 units, removing the per-element *LOG2E. A/B: fmha_prefill_fp8_combined -> fmha_prefill_fp8_ck_log2dom. THE MEASURED PEAK underlying kernel (layout/reorder are its readability rewrites).
10	log2e_descale_expbias_hoist	throughput	16384	115.0	4.7689	OK	1.075	0.816	LOG2E folded into the descale + per-tile exp-bias hoist: whole score domain in log2 units, removing the per-element *LOG2E. A/B: fmha_prefill_fp8_combined -> fmha_prefill_fp8_ck_log2dom. THE MEASURED PEAK underlying kernel (layout/reorder are its readability rewrites).
10	log2e_descale_expbias_hoist	throughput	32768	131.0	16.7523	OK	1.083	0.897	LOG2E folded into the descale + per-tile exp-bias hoist: whole score domain in log2 units, removing the per-element *LOG2E. A/B: fmha_prefill_fp8_combined -> fmha_prefill_fp8_ck_log2dom. THE MEASURED PEAK underlying kernel (layout/reorder are its readability rewrites).
11	xcd_chiplet_remap	dispatch	1024	18.0	0.1173	OK	1.000	0.600	XCD/chiplet block-ID remap (4 XCDs, group C=4 consecutive logical blocks per XCD's L2). A/B: FMHA_XCD=0 vs 1 (C=4) on hk5/log2dom. Small (VALU-bound): sq16384 110->117, sq32768 138->140.
11	xcd_chiplet_remap	dispatch	2048	46.0	0.1864	OK	1.000	0.742	XCD/chiplet block-ID remap (4 XCDs, group C=4 consecutive logical blocks per XCD's L2). A/B: FMHA_XCD=0 vs 1 (C=4) on hk5/log2dom. Small (VALU-bound): sq16384 110->117, sq32768 138->140.
11	xcd_chiplet_remap	dispatch	16384	116.0	4.7573	OK	1.009	0.823	XCD/chiplet block-ID remap (4 XCDs, group C=4 consecutive logical blocks per XCD's L2). A/B: FMHA_XCD=0 vs 1 (C=4) on hk5/log2dom. Small (VALU-bound): sq16384 110->117, sq32768 138->140.
11	xcd_chiplet_remap	dispatch	32768	131.0	16.7436	OK	1.000	0.897	XCD/chiplet block-ID remap (4 XCDs, group C=4 consecutive logical blocks per XCD's L2). A/B: FMHA_XCD=0 vs 1 (C=4) on hk5/log2dom. Small (VALU-bound): sq16384 110->117, sq32768 138->140.
12	softmax_valu_fold	throughput	1024	18.0	0.1174	OK	1.000	0.600	Softmax VALU fold: maxnumf -> v_max3 + p_scale fold. BAKED IN to log2dom; no clean flag A/B. Documented; reproduced as log2dom (delta vs L10/L11).
12	softmax_valu_fold	throughput	2048	46.0	0.1866	OK	1.000	0.742	Softmax VALU fold: maxnumf -> v_max3 + p_scale fold. BAKED IN to log2dom; no clean flag A/B. Documented; reproduced as log2dom (delta vs L10/L11).
12	softmax_valu_fold	throughput	16384	116.0	4.7540	OK	1.000	0.823	Softmax VALU fold: maxnumf -> v_max3 + p_scale fold. BAKED IN to log2dom; no clean flag A/B. Documented; reproduced as log2dom (delta vs L10/L11).
12	softmax_valu_fold	throughput	32768	131.0	16.8203	OK	1.000	0.897	Softmax VALU fold: maxnumf -> v_max3 + p_scale fold. BAKED IN to log2dom; no clean flag A/B. Documented; reproduced as log2dom (delta vs L10/L11).
13	per_seqlen_kt_diag_dispatch	dispatch	1024	26.0	0.0817	OK	1.444	0.867	Per-seqlen (KT,DIAG) dispatch over the log2dom base = CURRENT BEST. Per shape: sq<=1024 KT64/DIAG0; sq<=2048 KT64/DIAG1; sq<=16384 KT32/DIAG0; else KT32/DIAG1. NOTE: kernels/fmha_prefill_fp8_dispatch.py currently dispatches over ck_hk5, not log2dom — use --base to pick the underlying module.
13	per_seqlen_kt_diag_dispatch	dispatch	2048	55.0	0.1574	OK	1.196	0.887	Per-seqlen (KT,DIAG) dispatch over the log2dom base = CURRENT BEST. Per shape: sq<=1024 KT64/DIAG0; sq<=2048 KT64/DIAG1; sq<=16384 KT32/DIAG0; else KT32/DIAG1. NOTE: kernels/fmha_prefill_fp8_dispatch.py currently dispatches over ck_hk5, not log2dom — use --base to pick the underlying module.
13	per_seqlen_kt_diag_dispatch	dispatch	16384	106.0	5.1825	OK	0.914	0.752	Per-seqlen (KT,DIAG) dispatch over the log2dom base = CURRENT BEST. Per shape: sq<=1024 KT64/DIAG0; sq<=2048 KT64/DIAG1; sq<=16384 KT32/DIAG0; else KT32/DIAG1. NOTE: kernels/fmha_prefill_fp8_dispatch.py currently dispatches over ck_hk5, not log2dom — use --base to pick the underlying module.
13	per_seqlen_kt_diag_dispatch	dispatch	32768	131.0	16.7504	OK	1.000	0.897	Per-seqlen (KT,DIAG) dispatch over the log2dom base = CURRENT BEST. Per shape: sq<=1024 KT64/DIAG0; sq<=2048 KT64/DIAG1; sq<=16384 KT32/DIAG0; else KT32/DIAG1. NOTE: kernels/fmha_prefill_fp8_dispatch.py currently dispatches over ck_hk5, not log2dom — use --base to pick the underlying module.
